input,allResults
슈퍼히어로가 하늘을 날자 사람들의 시선이 집중되는 장면을 만들어줘,
,"[{'optimizedPrompt': '[Main Subject]\nA superhero with a robust, muscular physique, wearing a luminous, intricate suit equipped with advanced flying machinery, and a distinctive, iconic mask.\n\n[Context]\nFlying high in the evening sky, illuminated by a vivid sunset glow, above a cityscape where the streets are filled with people gathered below.\n\n[Action]\nThe superhero soars powerfully overhead using flight apparatus, capturing everyone\'s attention. Below, a crowd points upwards; some are shouting, others gaze with amazed expressions, all eyes following the hero\'s flight path.\n\n[Style]\nVivid, cinematic realism with dynamic color contrasts to emphasize the superhero\'s suit and the warmth of the sunset atmosphere.\n\n[Camera Motion]\nA continuous 360-degree rotating drone shot encircles the superhero in mid-air, seamlessly shifting from a wide overhead view to a sweeping arc around the crowd below, capturing their reactions.\n\n[Composition]\nStart with a wide aerial shot of the superhero in the sky, then dynamically shift focus to medium-close shots of the amazed crowd looking up, alternating perspectives between the flying figure and the people beneath.\n\n[Atmosphere]\nEnergetic and awe-inspiring. The warm, golden evening light enhances both the superhero\'s vivid costume and the collective anticipation and excitement gleaming in the crowd’s faces.\n\n[Additional Rule]\nExclude any blur or visual distortion. Do not introduce objects or characters not specified in the visual keywords. Ensure the superhero and crowd remain sharply in focus as the camera movement flows seamlessly between aerial and ground perspectives.\n\n[Scripts]\n<Crowd: ""Look up there!""> <Crowd: ""Is that really happening?""> <Crowd: ""Wow, incredible!"">', 'koreanSummary': '슈퍼히어로가 저녁 노을 속을 비행하자, 아래 군중이 소리치고 경탄하는 표정으로 그를 올려다보는 시네마틱 장면'}]"
갑자기 비가 쏟아져 모두가 뛰어가는 도심의 모습을 영상으로 만들어줘,
,"[{'optimizedPrompt': '[Main Subject]\nA diverse group of people, including children, teenagers, the elderly, and middle-aged adults, are present in a bustling city street.\n\n[Context]\nThe cityscape is defined by rain-drenched streets, glistening sidewalks with reflections, foggy humid air, and droplets sliding down the windows of nearby buildings.\n\n[Action]\nAll characters are running quickly to seek shelter from the sudden heavy rain. You can see animated splashes from hurried footsteps, and urgency in their movements. Children and teenagers dash with lively energy, while elderly and middle-aged figures move briskly with careful determination.\n\n[Style]\nThe scene is captured in vivid, saturated primary colors highlighting the lively street, but the overall lighting exudes the gloominess of a rainy day, softened by hazy ambient light. The style balances dynamic realism with soft cinematic tones.\n\n[Camera Motion]\nSmooth tracking shot moving alongside the crowd, occasionally panning across the different age groups, then gently zooming in on raindrops trailing down a nearby window.\n\n[Composition]\nWide shot to show the crowded urban street, transitioning into medium shots focusing on groups by age. Reflections on the pavement and water streaks on glass are prominent in the foreground and background.\n\n[Atmosphere]\nA vivid, chaotic energy permeates the scene, amplified by the heavy rainfall, saturated lighting, glistening surfaces, and visible moisture in the air. The city feels alive and urgent, with the rush of people contrasting the damp, diffuse light and vivid colors.\n\n[Additional Rule]\nExclude any blur, distortion, or unwanted objects from the frame. Maintain natural, clear focus on the main subjects and background textures, ensuring all visual transitions authentically depict motion and the rainy environment.\n\n[Scripts]\n<Child: ""Let\'s run! We\'re getting soaked!""><Teenager: ""Watch out, the street is slippery!""><Elderly person: ""I need to find shelter quickly.""><Middle-aged person: ""Hurry, this rain came out of nowhere!"">', 'koreanSummary': '갑자기 비가 쏟아져 도심 거리의 어린이, 청소년, 노인, 중년 모두가 급히 뛰어가며 빗물에 젖은 분위기와 반사되는 인도가 강조된 시네마틱 영상.'}]"
우주선이 하늘을 가르며 착륙하자 놀란 군중들이 바라보는 장면을 만들어줘,
,"[{'optimizedPrompt': '[Main Subject]\nA futuristic spaceship with a sleek, advanced design, descending towards the ground.\n\n[Context]\nA diverse crowd with strongly outlined faces, including children showing surprise, an audience cheering, and elderly people displaying awe, all fixated on the spaceship.\n\n[Action]\nThe spaceship makes a soft landing as the assembled crowd reacts—children with wide eyes, hands to cheeks in amazement; adults clapping and cheering; elders gazing up with reverence.\n\n[Style]\nHighly detailed cinematic realism, emphasizing facial contours and crowd emotion, futuristic sci-fi aesthetic.\n\n[Camera Motion]\nSlow pan from the horizon towards the crowd, then tilting upward to capture the spaceship descending, ending on a wide shot that holds both the ship and crowd reactions.\n\n[Composition]\nWide shot framing both the spaceship’s landing and the densely gathered crowd in the foreground; clear separation between faces; focus on emotional expressions.\n\n[Atmosphere]\nA faded sunset sky with lingering warm hues and clear air, highlighting the dramatic contrast between the alien technology and the human audience.\n\n[Additional Rule]\nExclude any blur, distortion, or unwanted background objects. Ensure all visual and emotional details are derived strictly from the selected keywords.', 'koreanSummary': '미래적 우주선이 부드럽게 착륙하자 윤곽이 뚜렷한 군중(놀란 어린이, 환호하는 사람, 경외심에 찬 노인)들이 감탄하며 바라보는 석양 하늘의 장면'}]"
유명 배우가 거리 한복판에 나타나 팬들이 몰려드는 장면을 만들어줘,
,"[{'optimizedPrompt': '[Main Subject]\nA middle-aged male actor with a famous hairstyle, standing in the center of a city street.\n\n[Context]\nSurrounded by a vibrant urban skyline, various colorful street signs, and frequent passing vehicles. The weather is bright and sunny, enhancing the clear urban setting.\n\n[Action]\nFans begin gathering around him, some excitedly taking photos, others eagerly requesting autographs. The actor remains calm, smiling and occasionally waving. The crowd\'s cameras flash and hands with paper or memorabilia reach out toward him.\n\n[Style]\nModern city realism with crisp, vivid daytime lighting. Emphasis on the contrast between the busy city environment and the sudden celebrity appearance. Lively, cinematic tone.\n\n[Camera Motion]\nSequence begins with a long close-up on the actor\'s recognizable hairstyle and face. The camera lifts up for an elevated view of the scene, then quickly zooms in to focus on the fans\' enthusiastic reactions. A panning shot sweeps across the crowd, capturing their movement and curiosity.\n\n[Composition]\nWide shot establishing the city street, transitioning to close-ups of the actor and fans’ faces. Layering of crowds in the foreground, vehicles and cityscape in the background. Balanced focus on main subject and environment.\n\n[Atmosphere]\nEnergetic, joyful, and slightly chaotic as fans move closer. Sunlight accentuates expressions and hair, creating dynamic highlights. The urban sounds and color give a sense of vibrancy and immediacy.\n\n[Additional Rule]\nExclude blur, distortion, or any unwanted objects; maintain sharp detail on faces and crowd emotion. Fan reactions should be vivid and authentic.\n\n[Scripts]\n<Fan 1: ""Look, it\'s him! Quick, get a photo!"">\n<Fan 2: ""Can I have your autograph, please?"">\n<Actor: *smiles and nods, signing memorabilia*>\n<Fan 3: ""Over here, please!"">\n<Actor: ""Thank you for your support!"" >\n', 'koreanSummary': '유명한 헤어스타일의 중년 남성 배우가 도심 거리 중앙에 나타나자, 팬들이 사진을 찍고 사인을 요청하며 몰려드는 활기찬 장면'}]"
오래된 건물이 무너지고 사람들은 멀리서 바라보며 속삭이는 장면을 만들어줘,
,"[{'optimizedPrompt': '[Main Subject]\nA crumbling old building with cracked, worn plaster walls, rusty iron pillars, collapsed bricks, and shattered roof tiles; a group of people at a distance, displaying confused expressions and whispering quietly among themselves.\n\n[Context]\nSet on a desolate road under a sky at dusk, enhancing the mood with faint, warm twilight filtering through the debris and assembling the scene within a quiet, abandoned atmosphere.\n\n[Action]\nThe building continues to collapse slowly; in the background, people remain still, their eyes wide in wonder, whispering softly among each other as fragments fall—no one dares approach.\n\n[Style]\nCinematic realism, with high detail on structural textures and subtle play of light and shadow; emphasize the melancholic and surreal ambiance of the collapsing structure and the people\'s emotional tension.\n\n[Camera Motion]\nSlow pan from the base of the building upward, revealing details of destruction, then gently shifting focus to the onlookers as they exchange whispers and worried glances.\n\n[Composition]\nWide shot that encompasses the ruined building on one side and the small group of distant people on the other; keep the balance between architectural decay and human reaction; ensure the foreground details of rubble and background of the empty, lonely road are clearly visible.\n\n[Atmosphere]\nHighlight the contrast between the dramatic destruction, the golden tones of the twilight sky, and the haunting stillness of the environment; reinforce the emotional undertone of quiet awe and unease.\n\n[Additional Rule]\nExclude any visual blur or distortion; keep all key textures and characters in crisp detail. No unrelated objects or elements—strictly maintain only those mentioned in the provided keywords.\n\n[Scripts]\n<Person 1: ""Did you see the wall collapse?"">\n<Person 2: ""I\'ve never seen anything like this before."">\n<Person 3: ""Should we get closer?"">\n<Person 4: ""No... it looks dangerous."">\n<Person 1: ""I wonder what happened here."">', 'koreanSummary': '황혼의 황량한 도로에서 낡고 무너지는 건물을 멀리서 사람들이 혼란스럽고 속삭이는 모습으로 바라보는 장면'}]"
