input,allResults
슈퍼히어로가 하늘을 날자 사람들의 시선이 집중되는 장면을 만들어줘,
,"[{'optimizedPrompt': ""A superhero with a strong physique, wearing a vibrant suit, distinctive mask, and equipped with flight machinery, soars gracefully through the evening sunset sky. Below, a cheering crowd with astonished expressions gazes upwards, their faces lit by the warm glow of the sunset. The camera performs a 360-degree rotating drone shot, circling around the superhero in midair, capturing dramatic contrasts between the hero and the golden sky while panning over the enthralled spectators. The superhero maintains confident posture, looking ahead, while the crowd's expressions shift between awe and excitement as the camera angle changes. No blur, distortion, or unwanted objects present. Cinematic, high-contrast style throughout."", 'koreanSummary': '강인한 체격의 슈퍼히어로가 저녁 노을 하늘을 화려한 슈트, 독특한 마스크, 비행 기계 장비를 착용하고 비행하며, 아래에는 소리치는 군중과 경탄하는 표정의 사람들이 집중된 시선으로 올려다보는 장면. 드론과 360도 회전 샷으로 극적인 대비와 인물, 군중의 감정을 극적으로 묘사함.'}]"
갑자기 비가 쏟아져 모두가 뛰어가는 도심의 모습을 영상으로 만들어줘,
,"[{'optimizedPrompt': 'A group of people, including children, teenagers, middle-aged, and elderly individuals, suddenly start running quickly through a city street under heavy rain. The wet street reflects bright primary colors, and the air feels moist. The environment is filled with raindrops streaming down windows and shiny, soaked sidewalks. The scene captures adults, teens, and kids of various hair styles, dressed in seasonally appropriate urban clothing, sprinting towards shelter. Some glance over their shoulders or look up at the rain as they run, their hair and clothes getting drenched. Camera tracking shot follows the crowd swiftly, panning between running figures. Wide shot at first, then medium as the camera weaves through the group, emphasizing the dynamic and vivid city atmosphere. The lighting is a mix of vibrant, saturated hues against dark, rain-soaked concrete, enhancing the bustling, lively tone of a rainy city. Make sure the image is sharp and clear, with no blurring, distortion, or unwanted objects. Facial expressions range from surprised to exhilarated, matching the urgency and excitement of the scene.', 'koreanSummary': '비가 갑자기 쏟아져 도심의 거리에서 어린이, 청소년, 중년, 노인 모두가 빠르게 뛰어가는 모습을 역동적으로 담은 영상. 물방울 맺힌 창과 흠뻑 젖은 거리, 반사되는 인도 등 질감이 살아있고, 밝은 원색이 더해진 생생한 분위기. 카메라는 와이드 숏과 미디엄 숏을 오가며 인물들의 표정과 움직임을 강조.'}]"
우주선이 하늘을 가르며 착륙하자 놀란 군중들이 바라보는 장면을 만들어줘,
,"[{'optimizedPrompt': ""A futuristic spaceship descends from the sky, performing a gentle touchdown. The background features a faded sunset, casting long shadows over a diverse crowd. Close-up on the faces in the audience: sharp outlines highlight their astonishment. Children display wide-eyed surprise, elderly spectators gaze with deep awe, and the crowd overall bursts into cheers. The camera slowly pans from the detailed, futuristic ship to the crowd, capturing the vibrant emotional spectrum under the warm, dimming light. Wide shot transitions to medium close-ups on the emotional reactions, accentuating the clarity and expressiveness of their faces. Lighting emphasizes dramatic contrasts between the glowing ship and the dusky sky, with emphasis on strong silhouettes. No unwanted objects or blur; the scene remains crisp and focused throughout, with all eyes fixed on the spaceship's landing."", 'koreanSummary': '미래적 우주선이 퇴색된 석양 아래 부드럽게 착륙하고, 놀람과 경외에 찬 군중들의 윤곽이 강조된 얼굴, 어린이의 놀라운 표정, 노인의 경외감, 환호하는 청중의 모습이 카메라에 담기는 장면입니다.'}]"
유명 배우가 거리 한복판에 나타나 팬들이 몰려드는 장면을 만들어줘,
,"[{'optimizedPrompt': 'A middle-aged man with a famous hairstyle stands in the center of a bustling city street, surrounded by skyscrapers and a clear, sunny sky. He is instantly recognized by passing fans. People gather excitedly, some holding up their phones to take photos, while others reach out for his autograph. Colorful urban signs and numerous passing vehicles set the scene. The video starts with an extended close-up of the man’s distinctive hairstyle and composed expression, then lifts up for a broader city view. A rapid zoom-in captures the swell of the crowd as fan reactions intensify, followed by a dynamic panning shot across the excited faces. The lighting is bright and vibrant, emphasizing sharp contrasts and energetic urban life. The celebrity’s gaze shifts naturally—from directly at the camera during the close-up, to acknowledging the fans during autograph requests, and then back to observing the city skyline. No blur, distortion, or unwanted objects present.', 'koreanSummary': '유명한 헤어스타일을 가진 중년 남성이 도심 거리 한복판에 서 있고, 팬들이 사진을 찍거나 사인을 받으려고 몰려드는 장면. 스카이라인과 표지판, 화창한 날씨, 왕래하는 차량들과 함께 빠른 줌인, 리프트 업, 패닝 샷이 이어지며 밝고 생동감 있는 분위기를 강조함.'}]"
오래된 건물이 무너지고 사람들은 멀리서 바라보며 속삭이는 장면을 만들어줘,
,"[{'optimizedPrompt': 'In the scene, an old building with cracked plaster walls, rusted iron columns, crumbling bricks, and broken roof tiles is collapsing dramatically under the clear sunlight. In the foreground, several people—adults of varying ages and genders, wearing worn-out clothes—stand at a distance along a desolate road. Their hairstyles are simple and unstyled, and their facial expressions depict confusion and a faint, sad smile as they whisper to each other while watching the destruction. The environment features a wide, empty road stretching past the collapsing structure. The camera slowly pans from the ruins to the groups of people, capturing their emotional reactions in medium and close-up shots. The style is cinematic, emphasizing strong contrast between the sunlight and deep shadows cast by debris. All elements strictly correspond to the chosen keywords; no blurring, distortion, or unwanted objects present.', 'koreanSummary': '맑은 햇살 아래 낡은 회벽, 녹슬은 철제 기둥, 무너진 벽돌, 부서진 기와로 이루어진 오래된 건물이 붕괴되는 장면. 멀리 황량한 도로 위에 여러 연령·성별의 사람들이 혼란스럽고 슬픈 미소를 띠며 속삭이며 바라봄. 카메라는 잔해에서 사람들로 천천히 이동, 감정 표현 클로즈업. 강한 명암 대비의 시네마틱 분위기.'}]"
